n_estimators,learning_rate,max_depth,subsample,mean_test_score,std_test_score
100,0.01,3,0.8,-0.5250238650456887,0.1715645595225951
100,0.01,3,1.0,-0.5252175445571433,0.171684316035567
100,0.01,5,0.8,-0.4998192826470776,0.16616579572814144
100,0.01,5,1.0,-0.4965095649563346,0.1586219586631992
100,0.05,3,0.8,-0.41476603315055094,0.15918411974967314
100,0.05,3,1.0,-0.4198627087556731,0.16122487155234372
100,0.05,5,0.8,-0.37071559484769034,0.14946240826805549
100,0.05,5,1.0,-0.3771968263568916,0.14843005535107223
100,0.1,3,0.8,-0.3967174992279721,0.1529562889694728
100,0.1,3,1.0,-0.4044235981127861,0.15797692576478856
100,0.1,5,0.8,-0.3484461814945823,0.14544494048391296
100,0.1,5,1.0,-0.35687355951501076,0.14815255767404578
